Arrival Date,F_Governorate_En,F_District_En,F_Sub-District_En,F_Community_En,T_Governorate_En,T_District_En,T_Sub-District_En,T_Community_En,T_Camp_En,New Arrivals (Ind),New Arrivals (HH),Most common shelter type for new arrivals,Most common tenancy arrangement for new arrivals,1st priority need of IDPs arriving during the coverage period,2nd priority need of IDPs arriving during the coverage period,3rd priority need of IDPs arriving during the coverage period,F_Governorate_PCODE,F_District_PCODE,F_Sub-District_PCODE,F_Community_PCODE,T_Governorate_PCODE,T_District_PCODE,T_Sub-District_PCODE,T_Community_PCODE,T_Camp_PCODE
1-31 December,Aleppo,A'zaz,Aghtrin,,Aleppo,Afrin,Bulbul,Qastal Miqdad,,17,3,Self_settled_Camp,,Safety,Cash,Winterization,SY02,SY0204,SY020401,,SY02,SY0203,SY020301,C1416,
1-31 December,Idleb,Harim,Dana,,Aleppo,Afrin,Bulbul,Qastal Miqdad,,28,5,Self_settled_Camp,,Safety,Cash,Winterization,SY07,SY0703,SY070301,,SY02,SY0203,SY020301,C1416,
1-31 December,Idleb,Harim,Dana,,Aleppo,Afrin,Bulbul,Qastal Miqdad,,28,5,Self_settled_Camp,,Shelter,NFI,Livelihoods,SY07,SY0703,SY070301,,SY02,SY0203,SY020301,C1416,
1-31 December,Aleppo,Jarablus,Jarablus,,Aleppo,Afrin,Bulbul,Hozan,,16,3,Unfinished_damaged_houses_apartments,,Winterization,Livelihoods,Cash,SY02,SY0208,SY020800,,SY02,SY0203,SY020301,C1417,
1-31 December,Idleb,Harim,Salqin,,Aleppo,Afrin,Bulbul,Hozan,,28,5,Unfinished_damaged_houses_apartments,,Winterization,Livelihoods,Cash,SY07,SY0703,SY070302,,SY02,SY0203,SY020301,C1417,
1-31 December,Aleppo,Al Bab,Al Bab,,Aleppo,Afrin,Bulbul,Qorna,,21,4,Solid_finished_houses_apartments,,NFI,WASH,Winterization,SY02,SY0202,SY020200,,SY02,SY0203,SY020301,C1418,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Bulbul,Qorna,,15,3,Solid_finished_houses_apartments,,NFI,WASH,Winterization,SY02,SY0203,SY020303,,SY02,SY0203,SY020301,C1418,
1-31 December,Idleb,Idleb,Idleb,,Aleppo,Afrin,Jandairis,Haj Eskandar,,5,1,Unfinished_damaged_houses_apartments,,NFI,Winterization,Cash,SY07,SY0700,SY070000,,SY02,SY0203,SY020302,C1420,
1-31 December,Idleb,Idleb,Idleb,,Aleppo,Afrin,Jandairis,Haj Eskandar,,4,1,Unfinished_damaged_houses_apartments,,NFI,Winterization,Livelihoods,SY07,SY0700,SY070000,,SY02,SY0203,SY020302,C1420,
1-31 December,Aleppo,A'zaz,A'zaz,,Aleppo,Afrin,Jandairis,Jandairis,,24,4,Solid_finished_houses_apartments,,Health,Winterization,Cash,SY02,SY0204,SY020400,,SY02,SY0203,SY020302,C1426,
1-31 December,Idleb,Idleb,Idleb,,Aleppo,Afrin,Jandairis,Hamam (Jandairis),,14,3,Collective_centers_such_as_mosques_schools_etc,,NFI,Winterization,Cash,SY07,SY0700,SY070000,,SY02,SY0203,SY020302,C1427,
1-31 December,Aleppo,Afrin,Sharan,,Aleppo,Afrin,Jandairis,Ras Elosud - Qarablish,,17,4,Solid_finished_houses_apartments,,Health,Food,Winterization,SY02,SY0203,SY020304,,SY02,SY0203,SY020302,C1429,
1-31 December,Idleb,Idleb,Idleb,,Aleppo,Afrin,Jandairis,Tal Slur,,22,4,Unfinished_damaged_houses_apartments,,NFI,Winterization,Cash,SY07,SY0700,SY070000,,SY02,SY0203,SY020302,C1433,
1-31 December,Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,,Aleppo,Afrin,Jandairis,Tal Slur,,11,2,Unfinished_damaged_houses_apartments,,NFI,Winterization,Cash,SY07,SY0704,SY070400,,SY02,SY0203,SY020302,C1433,
1-31 December,Idleb,Ariha,Ariha,,Aleppo,Afrin,Jandairis,Tal Slur,,16,3,Unfinished_damaged_houses_apartments,,NFI,Winterization,Cash,SY07,SY0705,SY070500,,SY02,SY0203,SY020302,C1433,
1-31 December,Idleb,Idleb,Idleb,,Aleppo,Afrin,Jandairis,Bayada - Jendris,,9,2,Unfinished_damaged_houses_apartments,,NFI,Winterization,Livelihoods,SY07,SY0700,SY070000,,SY02,SY0203,SY020302,C1434,
1-31 December,Idleb,Idleb,Idleb,,Aleppo,Afrin,Jandairis,Western Eshkab,,9,2,Unfinished_damaged_houses_apartments,,NFI,Winterization,Livelihoods,SY07,SY0700,SY070000,,SY02,SY0203,SY020302,C1437,
1-31 December,Idleb,Idleb,Idleb,,Aleppo,Afrin,Jandairis,Nisriyeh,,4,1,Unfinished_damaged_houses_apartments,,NFI,Winterization,Cash,SY07,SY0700,SY070000,,SY02,SY0203,SY020302,C1439,
1-31 December,Idleb,Idleb,Idleb,,Aleppo,Afrin,Jandairis,Nisriyeh,,5,1,Unfinished_damaged_houses_apartments,,NFI,Winterization,Livelihoods,SY07,SY0700,SY070000,,SY02,SY0203,SY020302,C1439,
1-31 December,Aleppo,A'zaz,A'zaz,,Aleppo,Afrin,Jandairis,Eastern Eshkan,,30,6,Solid_finished_houses_apartments,,Education,Cash,Health,SY02,SY0204,SY020400,,SY02,SY0203,SY020302,C1441,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Jandairis,Upper Kafardali,,31,7,Solid_finished_houses_apartments,,Shelter,Education,Winterization,SY02,SY0203,SY020303,,SY02,SY0203,SY020302,C1442,
1-31 December,Idleb,Idleb,Idleb,,Aleppo,Afrin,Jandairis,Upper Marwana,,4,1,Unfinished_damaged_houses_apartments,,NFI,Cash,Winterization,SY07,SY0700,SY070000,,SY02,SY0203,SY020302,C1443,
1-31 December,Idleb,Idleb,Idleb,,Aleppo,Afrin,Jandairis,Upper Marwana,,9,2,Unfinished_damaged_houses_apartments,,NFI,Winterization,Safety,SY07,SY0700,SY070000,,SY02,SY0203,SY020302,C1443,
1-31 December,Idleb,Idleb,Idleb,,Aleppo,Afrin,Jandairis,Freiriyeh,,33,6,Unfinished_damaged_houses_apartments,,NFI,Winterization,Cash,SY07,SY0700,SY070000,,SY02,SY0203,SY020302,C1446,
1-31 December,Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,,Aleppo,Afrin,Jandairis,Freiriyeh,,49,9,Unfinished_damaged_houses_apartments,,NFI,Winterization,Cash,SY07,SY0704,SY070400,,SY02,SY0203,SY020302,C1446,
1-31 December,Aleppo,Al Bab,Al Bab,,Aleppo,Afrin,Jandairis,Koran Jandris,,20,4,Solid_finished_houses_apartments,,Health,Cash,Education,SY02,SY0202,SY020200,,SY02,SY0203,SY020302,C1447,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,Afrin,Jandairis,Kafr Safra,,29,7,Solid_finished_houses_apartments,,Shelter,Health,Cash,SY02,SY0203,SY020300,,SY02,SY0203,SY020302,C1449,
1-31 December,Aleppo,Afrin,Jandairis,,Aleppo,Afrin,Raju,Shyukh - Sheikh Oba Si,,22,4,Solid_finished_houses_apartments,,Shelter,Food,Livelihoods,SY02,SY0203,SY020302,,SY02,SY0203,SY020303,C1450,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Raju,Ghizlan - Jilani,,10,2,Solid_finished_houses_apartments,,Shelter,Food,Livelihoods,SY02,SY0203,SY020303,,SY02,SY0203,SY020303,C1451,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,Afrin,Raju,Hamshu - Hamashtlak,,53,10,Solid_finished_houses_apartments,,Food,Winterization,NFI,SY02,SY0203,SY020300,,SY02,SY0203,SY020303,C1452,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Raju,Hamshu - Hamashtlak,,54,10,Solid_finished_houses_apartments,,Food,Winterization,NFI,SY02,SY0203,SY020303,,SY02,SY0203,SY020303,C1452,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Raju,Sheikh Mohammed,,23,5,Solid_finished_houses_apartments,,Shelter,Winterization,Food,SY02,SY0203,SY020303,,SY02,SY0203,SY020303,C1453,
1-31 December,Aleppo,Afrin,Ma'btali,,Aleppo,Afrin,Raju,Sheikh Mohammed,,9,2,Solid_finished_houses_apartments,,Shelter,Winterization,Food,SY02,SY0203,SY020306,,SY02,SY0203,SY020303,C1453,
1-31 December,Aleppo,Afrin,Jandairis,,Aleppo,Afrin,Raju,Dawdaw,,23,4,Solid_finished_houses_apartments,,Shelter,Food,Winterization,SY02,SY0203,SY020302,,SY02,SY0203,SY020303,C1454,
1-31 December,Aleppo,Afrin,Sheikh El-Hadid,,Aleppo,Afrin,Raju,Dawdaw,,12,2,Solid_finished_houses_apartments,,Shelter,Food,Winterization,SY02,SY0203,SY020305,,SY02,SY0203,SY020303,C1454,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,Afrin,Raju,Haj Khalil,,76,14,Solid_finished_houses_apartments,,Food,Winterization,NFI,SY02,SY0203,SY020300,,SY02,SY0203,SY020303,C1455,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Raju,Haj Khalil,,71,13,Solid_finished_houses_apartments,,Food,Winterization,NFI,SY02,SY0203,SY020303,,SY02,SY0203,SY020303,C1455,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,Afrin,Raju,Maamel - Oshagi,,48,9,Solid_finished_houses_apartments,,Food,Winterization,NFI,SY02,SY0203,SY020300,,SY02,SY0203,SY020303,C1457,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Raju,Maamel - Oshagi,,27,5,Solid_finished_houses_apartments,,Food,Winterization,NFI,SY02,SY0203,SY020303,,SY02,SY0203,SY020303,C1457,
1-31 December,Aleppo,Afrin,Ma'btali,,Aleppo,Afrin,Raju,Maamel - Oshagi,,26,5,Solid_finished_houses_apartments,,Food,Winterization,NFI,SY02,SY0203,SY020306,,SY02,SY0203,SY020303,C1457,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Raju,Aaliaa - Ali Baski,,10,2,Solid_finished_houses_apartments,,Food,Winterization,Livelihoods,SY02,SY0203,SY020303,,SY02,SY0203,SY020303,C1458,
1-31 December,Aleppo,Afrin,Ma'btali,,Aleppo,Afrin,Raju,Aaliaa - Ali Baski,,4,1,Unfinished_damaged_houses_apartments,,Shelter,Winterization,Food,SY02,SY0203,SY020306,,SY02,SY0203,SY020303,C1458,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Raju,Batra (Raju),,10,2,Solid_finished_houses_apartments,,Shelter,Food,Livelihoods,SY02,SY0203,SY020303,,SY02,SY0203,SY020303,C1459,
1-31 December,Aleppo,Afrin,Ma'btali,,Aleppo,Afrin,Raju,Batra (Raju),,25,4,Solid_finished_houses_apartments,,Livelihoods,Winterization,Food,SY02,SY0203,SY020306,,SY02,SY0203,SY020303,C1459,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,Afrin,Raju,Murtafiah (Raju),,28,5,Solid_finished_houses_apartments,,Food,Winterization,NFI,SY02,SY0203,SY020300,,SY02,SY0203,SY020303,C1460,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Raju,Murtafiah (Raju),,34,6,Solid_finished_houses_apartments,,Food,Winterization,NFI,SY02,SY0203,SY020303,,SY02,SY0203,SY020303,C1460,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Raju,Omar - Omar Oshaghi,,11,2,Solid_finished_houses_apartments,,Food,Winterization,NFI,SY02,SY0203,SY020303,,SY02,SY0203,SY020303,C1461,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,Afrin,Raju,Hajman,,10,2,Unfinished_damaged_houses_apartments,,Shelter,Food,Livelihoods,SY02,SY0203,SY020300,,SY02,SY0203,SY020303,C1463,
1-31 December,Aleppo,Afrin,Jandairis,,Aleppo,Afrin,Raju,Hajman,,25,5,Unfinished_damaged_houses_apartments,,Shelter,Food,Livelihoods,SY02,SY0203,SY020302,,SY02,SY0203,SY020303,C1463,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Raju,Taqiyeh - Kamrash,,28,5,Solid_finished_houses_apartments,,Food,Winterization,NFI,SY02,SY0203,SY020303,,SY02,SY0203,SY020303,C1464,
1-31 December,Aleppo,Afrin,Ma'btali,,Aleppo,Afrin,Raju,Taqiyeh - Kamrash,,12,2,Solid_finished_houses_apartments,,Food,Winterization,NFI,SY02,SY0203,SY020306,,SY02,SY0203,SY020303,C1464,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Raju,Barband,,28,5,Solid_finished_houses_apartments,,Food,Winterization,NFI,SY02,SY0203,SY020303,,SY02,SY0203,SY020303,C1465,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,Afrin,Raju,Upper Dhak - Upper Kolyan,,27,5,Solid_finished_houses_apartments,,Food,Winterization,NFI,SY02,SY0203,SY020300,,SY02,SY0203,SY020303,C1466,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Raju,Upper Dhak - Upper Kolyan,,17,3,Solid_finished_houses_apartments,,Food,Winterization,NFI,SY02,SY0203,SY020303,,SY02,SY0203,SY020303,C1466,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Raju,Bilaliyeh - Blaliko,,4,1,Solid_finished_houses_apartments,,Shelter,Food,Livelihoods,SY02,SY0203,SY020303,,SY02,SY0203,SY020303,C1468,
1-31 December,Aleppo,Afrin,Ma'btali,,Aleppo,Afrin,Raju,Bilaliyeh - Blaliko,,12,2,Solid_finished_houses_apartments,,Shelter,Food,Winterization,SY02,SY0203,SY020306,,SY02,SY0203,SY020303,C1468,
1-31 December,Aleppo,Afrin,Bulbul,,Aleppo,Afrin,Raju,Tholathiyeh,,15,2,Solid_finished_houses_apartments,,Shelter,Food,Livelihoods,SY02,SY0203,SY020301,,SY02,SY0203,SY020303,C1469,
1-31 December,Aleppo,A'zaz,A'zaz,,Aleppo,Afrin,Raju,Tholathiyeh,,18,3,Solid_finished_houses_apartments,,Shelter,Food,Livelihoods,SY02,SY0204,SY020400,,SY02,SY0203,SY020303,C1469,
1-31 December,Aleppo,Afrin,Bulbul,,Aleppo,Afrin,Raju,Little Siwan - Little Jaqmaq,,11,2,Solid_finished_houses_apartments,,Shelter,Food,Livelihoods,SY02,SY0203,SY020301,,SY02,SY0203,SY020303,C1470,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Raju,Little Siwan - Little Jaqmaq,,12,2,Solid_finished_houses_apartments,,Shelter,Food,Winterization,SY02,SY0203,SY020303,,SY02,SY0203,SY020303,C1470,
1-31 December,Aleppo,Afrin,Ma'btali,,Aleppo,Afrin,Raju,Little Siwan - Little Jaqmaq,,11,2,Solid_finished_houses_apartments,,Shelter,Food,Livelihoods,SY02,SY0203,SY020306,,SY02,SY0203,SY020303,C1470,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Raju,Birein - Jtal Qoyo,,2,1,Solid_finished_houses_apartments,,Food,Livelihoods,Winterization,SY02,SY0203,SY020303,,SY02,SY0203,SY020303,C1471,
1-31 December,Aleppo,Afrin,Sheikh El-Hadid,,Aleppo,Afrin,Raju,Birein - Jtal Qoyo,,22,4,Solid_finished_houses_apartments,,Shelter,Livelihoods,Winterization,SY02,SY0203,SY020305,,SY02,SY0203,SY020303,C1471,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,Afrin,Raju,Thadi - Mamali,,11,2,Solid_finished_houses_apartments,,Food,Winterization,NFI,SY02,SY0203,SY020300,,SY02,SY0203,SY020303,C1472,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Raju,Thadi - Mamali,,5,1,Solid_finished_houses_apartments,,Food,Winterization,NFI,SY02,SY0203,SY020303,,SY02,SY0203,SY020303,C1472,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,Afrin,Raju,Beit Adin,,97,18,Solid_finished_houses_apartments,,Food,Winterization,NFI,SY02,SY0203,SY020300,,SY02,SY0203,SY020303,C1473,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Raju,Beit Adin,,75,14,Solid_finished_houses_apartments,,Food,Winterization,NFI,SY02,SY0203,SY020303,,SY02,SY0203,SY020303,C1473,
1-31 December,Aleppo,Afrin,Ma'btali,,Aleppo,Afrin,Raju,Beit Adin,,53,10,Solid_finished_houses_apartments,,Food,Winterization,NFI,SY02,SY0203,SY020306,,SY02,SY0203,SY020303,C1473,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,Afrin,Raju,Lower Dhak - Kolyan,,27,5,Solid_finished_houses_apartments,,Food,Winterization,NFI,SY02,SY0203,SY020300,,SY02,SY0203,SY020303,C1474,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Raju,Lower Dhak - Kolyan,,44,8,Solid_finished_houses_apartments,,Food,Winterization,NFI,SY02,SY0203,SY020303,,SY02,SY0203,SY020303,C1474,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,Afrin,Raju,Janjaleh,,11,2,Solid_finished_houses_apartments,,Food,Winterization,NFI,SY02,SY0203,SY020300,,SY02,SY0203,SY020303,C1476,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Raju,Janjaleh,,5,1,Solid_finished_houses_apartments,,Food,Winterization,NFI,SY02,SY0203,SY020303,,SY02,SY0203,SY020303,C1476,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Raju,Jalqama,,41,7,Solid_finished_houses_apartments,,Food,Winterization,NFI,SY02,SY0203,SY020303,,SY02,SY0203,SY020303,C1477,
1-31 December,Aleppo,Afrin,Jandairis,,Aleppo,Afrin,Raju,Big Siwan,,62,12,Solid_finished_houses_apartments,,Shelter,Food,Livelihoods,SY02,SY0203,SY020302,,SY02,SY0203,SY020303,C1478,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Raju,Big Siwan,,16,3,Solid_finished_houses_apartments,,Shelter,Food,Livelihoods,SY02,SY0203,SY020303,,SY02,SY0203,SY020303,C1478,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Raju,Big Siwan,,19,3,Unfinished_damaged_houses_apartments,,Shelter,Food,Livelihoods,SY02,SY0203,SY020303,,SY02,SY0203,SY020303,C1478,
1-31 December,Aleppo,Afrin,Ma'btali,,Aleppo,Afrin,Raju,Big Siwan,,6,1,Unfinished_damaged_houses_apartments,,Shelter,Food,Livelihoods,SY02,SY0203,SY020306,,SY02,SY0203,SY020303,C1478,
1-31 December,Aleppo,Afrin,Jandairis,,Aleppo,Afrin,Raju,Ada,,10,2,Unfinished_damaged_houses_apartments,,Shelter,Food,Winterization,SY02,SY0203,SY020302,,SY02,SY0203,SY020303,C1479,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Raju,Ada,,15,2,Solid_finished_houses_apartments,,Shelter,Winterization,Food,SY02,SY0203,SY020303,,SY02,SY0203,SY020303,C1479,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Raju,Qalam - Bandrak,,10,2,Solid_finished_houses_apartments,,Shelter,Food,Livelihoods,SY02,SY0203,SY020303,,SY02,SY0203,SY020303,C1480,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Raju,Atman (Raju),,28,5,Solid_finished_houses_apartments,,Food,Winterization,NFI,SY02,SY0203,SY020303,,SY02,SY0203,SY020303,C1481,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Raju,Shankal,,15,2,Solid_finished_houses_apartments,,Shelter,Food,Winterization,SY02,SY0203,SY020303,,SY02,SY0203,SY020303,C1482,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Raju,Talleh - Zarkani,,15,3,Solid_finished_houses_apartments,,Food,Livelihoods,Winterization,SY02,SY0203,SY020303,,SY02,SY0203,SY020303,C1483,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Raju,Talleh - Zarkani,,10,2,Unfinished_damaged_houses_apartments,,Food,Livelihoods,Winterization,SY02,SY0203,SY020303,,SY02,SY0203,SY020303,C1483,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,Afrin,Raju,Raju,,110,20,Solid_finished_houses_apartments,,Livelihoods,Winterization,Food,SY02,SY0203,SY020300,,SY02,SY0203,SY020303,C1484,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,Afrin,Raju,Raju,,66,12,Solid_finished_houses_apartments,,Shelter,NFI,Livelihoods,SY02,SY0203,SY020300,,SY02,SY0203,SY020303,C1484,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Raju,Raju,,55,10,Solid_finished_houses_apartments,,Livelihoods,Winterization,Food,SY02,SY0203,SY020303,,SY02,SY0203,SY020303,C1484,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Raju,Raju,,121,22,Solid_finished_houses_apartments,,Shelter,NFI,Livelihoods,SY02,SY0203,SY020303,,SY02,SY0203,SY020303,C1484,
1-31 December,Aleppo,Afrin,Ma'btali,,Aleppo,Afrin,Raju,Raju,,28,5,Solid_finished_houses_apartments,,Shelter,NFI,Livelihoods,SY02,SY0203,SY020306,,SY02,SY0203,SY020303,C1484,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,Afrin,Raju,Hjeij - Haji Kanli,,11,2,Solid_finished_houses_apartments,,Food,Winterization,NFI,SY02,SY0203,SY020300,,SY02,SY0203,SY020303,C1485,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Raju,Hjeij - Haji Kanli,,22,4,Solid_finished_houses_apartments,,Food,Winterization,NFI,SY02,SY0203,SY020303,,SY02,SY0203,SY020303,C1485,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,Afrin,Raju,Omsiya - Donbaly,,80,15,Solid_finished_houses_apartments,,Food,Winterization,NFI,SY02,SY0203,SY020300,,SY02,SY0203,SY020303,C1486,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Raju,Omsiya - Donbaly,,54,10,Solid_finished_houses_apartments,,Food,Winterization,NFI,SY02,SY0203,SY020303,,SY02,SY0203,SY020303,C1486,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,Afrin,Raju,Musiyeh - Oba Si,,11,2,Solid_finished_houses_apartments,,Food,Winterization,NFI,SY02,SY0203,SY020300,,SY02,SY0203,SY020303,C1487,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Raju,Musiyeh - Oba Si,,5,1,Solid_finished_houses_apartments,,Food,Winterization,NFI,SY02,SY0203,SY020303,,SY02,SY0203,SY020303,C1487,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,Afrin,Raju,Meidan Ekbis,,74,13,Solid_finished_houses_apartments,,Shelter,Food,Winterization,SY02,SY0203,SY020300,,SY02,SY0203,SY020303,C1488,
1-31 December,Aleppo,Afrin,Bulbul,,Aleppo,Afrin,Raju,Meidan Ekbis,,14,3,Solid_finished_houses_apartments,,Shelter,Food,Winterization,SY02,SY0203,SY020301,,SY02,SY0203,SY020303,C1488,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Raju,Meidan Ekbis,,19,4,Solid_finished_houses_apartments,,Shelter,Food,Winterization,SY02,SY0203,SY020303,,SY02,SY0203,SY020303,C1488,
1-31 December,Aleppo,Afrin,Sharan,,Aleppo,Afrin,Raju,Meidan Ekbis,,38,8,Solid_finished_houses_apartments,,Shelter,Food,Winterization,SY02,SY0203,SY020304,,SY02,SY0203,SY020303,C1488,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,Afrin,Raju,Halil - Holilo,,33,6,Solid_finished_houses_apartments,,Food,Winterization,NFI,SY02,SY0203,SY020300,,SY02,SY0203,SY020303,C1489,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Raju,Halil - Holilo,,11,2,Solid_finished_houses_apartments,,Food,Winterization,NFI,SY02,SY0203,SY020303,,SY02,SY0203,SY020303,C1489,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Raju,Kusan,,12,2,Solid_finished_houses_apartments,,Shelter,Food,Winterization,SY02,SY0203,SY020303,,SY02,SY0203,SY020303,C1490,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Raju,Masikan,,5,1,Solid_finished_houses_apartments,,Food,Winterization,NFI,SY02,SY0203,SY020303,,SY02,SY0203,SY020303,C1491,
1-31 December,Aleppo,Afrin,Ma'btali,,Aleppo,Afrin,Raju,Masikan,,17,3,Solid_finished_houses_apartments,,Food,Winterization,NFI,SY02,SY0203,SY020306,,SY02,SY0203,SY020303,C1491,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Raju,Koran Afrin,,28,5,Solid_finished_houses_apartments,,Food,Winterization,NFI,SY02,SY0203,SY020303,,SY02,SY0203,SY020303,C1492,
1-31 December,Aleppo,Afrin,Bulbul,,Aleppo,Afrin,Sharan,Jiman,,39,8,Self_settled_Camp,,Food,NFI,Winterization,SY02,SY0203,SY020301,,SY02,SY0203,SY020304,C1493,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Sharan,Jiman,,35,7,Self_settled_Camp,,Food,NFI,Winterization,SY02,SY0203,SY020303,,SY02,SY0203,SY020304,C1493,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,Afrin,Sharan,Deir Siwan,,57,10,Unfinished_damaged_houses_apartments,,Winterization,NFI,Food,SY02,SY0203,SY020300,,SY02,SY0203,SY020304,C1494,
1-31 December,Idleb,Idleb,Idleb,,Aleppo,Afrin,Sharan,Deir Siwan,,79,14,Unfinished_damaged_houses_apartments,,Winterization,NFI,Food,SY07,SY0700,SY070000,,SY02,SY0203,SY020304,C1494,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,Afrin,Sharan,Dama - Ayki Dam,,20,4,Unfinished_damaged_houses_apartments,,Food,NFI,Winterization,SY02,SY0203,SY020300,,SY02,SY0203,SY020304,C1495,
1-31 December,Aleppo,Afrin,Bulbul,,Aleppo,Afrin,Sharan,Dama - Ayki Dam,,10,2,Unfinished_damaged_houses_apartments,,Food,NFI,Winterization,SY02,SY0203,SY020301,,SY02,SY0203,SY020304,C1495,
1-31 December,Aleppo,Afrin,Sharan,,Aleppo,Afrin,Sharan,Dama - Ayki Dam,,16,3,Unfinished_damaged_houses_apartments,,Food,NFI,Winterization,SY02,SY0203,SY020304,,SY02,SY0203,SY020304,C1495,
1-31 December,Aleppo,A'zaz,A'zaz,,Aleppo,Afrin,Sharan,Dama - Ayki Dam,,10,2,Unfinished_damaged_houses_apartments,,Food,NFI,Winterization,SY02,SY0204,SY020400,,SY02,SY0203,SY020304,C1495,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,Afrin,Sharan,Big Bostan,,22,4,Unfinished_damaged_houses_apartments,,Food,Winterization,NFI,SY02,SY0203,SY020300,,SY02,SY0203,SY020304,C1496,
1-31 December,Aleppo,Afrin,Bulbul,,Aleppo,Afrin,Sharan,Big Bostan,,14,3,Self_settled_Camp,,Food,NFI,Winterization,SY02,SY0203,SY020301,,SY02,SY0203,SY020304,C1496,
1-31 December,Aleppo,Afrin,Afrin,,Aleppo,Afrin,Sharan,Sharan (Sharan),,19,4,Self_settled_Camp,,NFI,Food,Winterization,SY02,SY0203,SY020300,,SY02,SY0203,SY020304,C1497,
1-31 December,Aleppo,Afrin,Bulbul,,Aleppo,Afrin,Sharan,Sharan (Sharan),,33,7,Self_settled_Camp,,Food,Winterization,NFI,SY02,SY0203,SY020301,,SY02,SY0203,SY020304,C1497,
1-31 December,Aleppo,Afrin,Raju,,Aleppo,Afrin,Sharan,Sharan (Sharan),,19,4,Self_settled_Camp,,NFI,Food,Winterization,SY02,SY0203,SY020303,,SY02,SY0203,SY020304,C1497,
